,id,Time,Type,Notes,mod_Notes,dict_Notes,Mica,Windel
477,105,09:10:20 03-13-2021,Pee,En el pañal y un poquito en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
480,102,04:20:07 03-13-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
482,97,20:00:09 03-12-2021,Pee,Pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
483,98,19:30:24 03-12-2021,Pee,In die Windel. Hatte es durch weinen angekündigt. Tim war zu spät.,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
484,96,17:00:04 03-12-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
485,95,14:15:12 03-12-2021,Pee,Pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
486,94,13:18:15 03-12-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
488,92,04:38:21 03-12-2021,Pee,En la mica y el pañal lleno,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
489,90,21:07:42 03-11-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
490,89,18:40:43 03-11-2021,Pee,En el pañal y en la mica,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
492,87,09:30:53 03-11-2021,Pee,En el pañal y en la mica,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
493,86,07:06:25 03-11-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
496,83,02:53:14 03-11-2021,Pee,Windel voll. ,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
498,81,17:42:28 03-10-2021,Pee,En la mica. Se quejó antes de hacer,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
499,80,16:24:21 03-10-2021,Pee,En el cambiador. Lloró,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
501,78,14:13:17 03-10-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
503,76,10:52:19 03-10-2021,Pee,En la mica. Wurde unruhig beim wickeln,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
507,72,04:20:56 03-10-2021,Pee,En en pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
508,71,18:30:35 03-09-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
509,70,16:21:24 03-09-2021,Pee,Windel und Töpfchen,"Windel: feucht, Mica: True","{'Windel': 'feucht', 'Mica': True}",True,feucht
510,69,12:02:34 03-09-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
513,66,04:20:16 03-09-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
514,67,02:20:41 03-09-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
515,64,20:30:26 03-08-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
516,63,16:54:16 03-08-2021,Pee,Kurz geweint. Pipí in potty,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
517,61,16:40:48 03-08-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
521,57,01:17:08 03-08-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
522,56,20:50:00 03-07-2021,Pee,En el pañal y en la mica,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
523,55,16:00:00 03-07-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
528,48,17:40:03 03-06-2021,Pee,In die Windel,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
530,47,13:59:04 03-06-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
531,46,13:05:40 03-06-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
534,43,02:20:36 03-06-2021,Pee,En la mica. Se puso incómoda pero no lloró. El pañal estaba seco,"Windel: feucht, Mica: True","{'Windel': 'feucht', 'Mica': True}",True,feucht
535,42,21:14:50 03-05-2021,Pee,En la mica  y el pañal mojado. Lloró antes de hacer pipí,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
540,35,10:27:43 03-05-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
547,29,12:50:13 03-04-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
549,24,09:31:02 03-04-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
550,23,04:00:55 03-04-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
552,21,18:30:40 03-03-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
555,16,14:36:20 03-03-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
557,14,10:00:16 03-03-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
559,13,03:30:13 03-03-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
560,10,02:57:47 03-03-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
561,9,23:33:15 03-02-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
562,8,20:02:39 03-02-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
565,4,13:21:56 03-02-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
566,5,11:30:40 03-02-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
569,1,02:42:38 03-02-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
